0,1,2,Final_Marks
-9.111392,3.1668339,13.681107,6
-8.088781,2.5804513,13.1762705,5
-8.458721,3.2817416,13.175111,7
-7.0314364,3.871968,13.485578,6
-9.268394,3.027004,14.216435,5
-7.09363,3.1799004,12.734385,5
-7.290964,4.00979,13.705872,4
-6.8038745,2.892902,13.036964,5
-8.974063,2.6845,14.376103,4
-6.9911275,3.130766,12.723298,9
-7.718169,3.4078655,12.990508,6
-7.1630654,3.9400823,13.689855,7
-8.429885,4.318834,14.343839,5
-8.631741,2.4708512,14.365082,4
-7.917906,3.1061904,13.805741,6
-8.674421,4.109214,14.940127,3
-7.8322735,2.7114017,12.872109,6
-7.573232,2.690273,13.303783,8
-9.504304,2.9334676,15.103722,4
-8.822551,2.2814467,14.728466,4
-8.313495,3.284082,13.560804,7
-9.496946,3.8757389,13.921161,7
-9.51915,3.8372726,13.976789,5
-8.262503,3.2947698,13.519204,6
-7.1624007,3.1758423,12.531136,8
-6.9246025,2.731032,13.299757,6
-6.6120305,3.6402066,13.423211,4
-8.50853,3.2334585,13.68357,8
-7.012308,2.5763123,12.675827,5
-8.49173,2.90495,13.141797,6
-9.397621,3.7092083,14.0202265,6
-7.8286877,3.3494854,13.004929,6
-7.669968,2.8879843,13.430104,6
-7.561855,2.6095226,13.556399,7
-8.562885,3.4118207,13.335592,8
-7.0303855,2.6870027,12.723552,6
-6.6496634,2.5511177,13.101526,3
-9.69358,3.747724,13.472921,5
-9.581038,3.6633427,13.985338,6
-8.384118,3.3358061,13.114505,8
6.545056,-0.08814356,15.440175,5
6.600785,0.16832744,16.268183,6
6.5927963,1.0086128,16.308258,8
6.5648794,-0.013891456,15.164332,5
6.7861085,-0.43802428,13.632081,7
6.9010344,0.37346843,15.623713,9
7.2663875,-0.5500404,14.74852,7
6.7033887,-0.6410471,14.82778,5
7.4476357,-0.31402174,13.751603,7
6.263732,0.4383409,16.296455,6
7.050767,-1.1470695,14.091676,6
6.740785,0.75121295,15.625086,6
5.6777034,0.68022376,15.99819,6
6.5753164,-0.46049258,14.253885,5
7.252615,-1.1659569,12.540207,5
7.2419467,-1.1518418,12.592194,5
6.5596304,-0.41243872,14.369716,5
7.1251087,-0.14382589,14.84057,8
6.9305143,0.5369556,16.69886,5
6.9989305,-0.77845114,13.571787,6
6.7033887,-0.6410471,14.82778,6
7.1939125,-0.27526096,14.633815,6
6.586821,-0.40029955,14.370659,5
7.0614142,-0.08231073,15.255358,8
6.0679574,-1.2602394,14.136939,8
7.135779,-1.0519611,13.914391,5
6.616955,-0.9712347,13.325792,5
7.4767423,-0.770295,14.227203,4
7.1752462,-0.9804603,13.98414,5
7.0039144,0.34977794,15.776657,8
6.823138,-0.7962609,14.875738,6
6.8622,0.9703271,15.406548,6
6.630858,-0.4722388,15.675804,7
6.74681,-1.0946081,14.341963,5
7.060345,1.2601997,15.372626,6
6.381086,0.52241194,16.616081,6
6.3452973,0.8175637,15.977066,5
6.2615967,0.5702304,15.626572,5
6.481108,0.7686511,16.141047,8
6.782007,-0.032128874,14.010614,6
-7.206575,6.5458136,-2.0031435,7
-7.789931,6.4818044,-2.8722901,6
-6.7475348,7.020981,-2.9037619,4
-8.231031,7.1865134,-1.1126119,6
-6.903414,7.110387,-2.25531,5
-8.081037,6.693139,-2.897577,6
-6.5487995,6.387969,-3.3914385,5
-8.54464,8.788198,-1.9698415,4
-8.153503,6.831597,-2.043726,8
-8.174175,6.603656,-2.2396686,5
-8.141854,7.4534616,-2.28359,6
-7.3713913,6.7578526,-2.8319743,6
-7.6540127,7.31593,-1.9625362,6
-8.097995,7.384822,-2.0216055,6
-5.2527094,6.1041465,-3.270396,7
-7.6347566,7.014423,-1.8880548,6
-7.2277,7.1497593,-3.030102,5
-6.3359385,5.736817,-3.3115134,3
-7.2776494,7.657991,-2.632476,6
-8.554723,9.124103,-1.9799466,6
-7.682632,7.1153207,-3.299051,6
-6.7386894,6.502318,-3.4862838,6
-5.257009,6.106712,-3.2694519,5
-8.554236,9.118166,-1.9799387,4
-7.3723254,6.8167,-3.239488,5
-7.566398,6.484261,-2.0378382,6
-8.502856,7.3893785,-2.4016287,5
-7.203371,6.171149,-3.2974834,6
-7.3007436,6.216394,-2.8031187,5
-6.9375243,6.7444916,-2.596252,6
-8.545717,8.64033,-1.9576061,4
-7.935125,7.5102324,-2.7356584,8
-8.686942,7.085324,-2.177093,5
-7.2047815,6.859716,-2.8561687,5
-7.533981,6.0022326,-2.6149795,5
-8.202367,7.188602,-3.019549,6
-6.285407,5.5983734,-2.9611025,5
-6.801171,6.431302,-2.4672484,5
-7.5488605,7.2884116,-2.5732977,5
-6.301373,5.93643,-3.2286687,4
-2.016352,11.422128,8.832644,8
-2.6348078,11.768728,9.068787,4
-2.1088707,11.293307,9.269296,6
-1.0689269,10.521589,9.659413,5
-2.0543032,11.999653,9.487804,8
-2.2576196,12.888413,10.227908,7
-1.6037656,11.313181,11.506292,6
-2.825826,11.503858,10.518428,5
-2.1182213,12.149161,10.713179,5
-2.0475779,12.054795,9.73623,5
-0.9427226,11.120187,9.674602,6
-2.742094,12.172086,9.741941,7
-1.8872721,12.009699,10.263145,8
-2.3022673,12.069717,8.001606,6
-2.5570261,11.783961,10.235673,6
-2.4219685,12.108144,10.6418085,5
-2.1395423,12.859671,10.757968,6
-2.198251,11.4636755,9.563672,4
-1.5823394,12.084449,9.293474,6
-1.457092,12.61763,10.395452,8
-2.5111794,12.662941,10.170436,5
-1.907375,11.610079,10.1956005,7
-2.7257593,12.400278,10.612515,6
-0.69133466,12.847412,9.906115,6
-2.293491,11.6760025,10.4070635,5
-2.8143694,12.28243,10.063709,6
-1.9689014,11.496205,9.205068,4
-1.8171399,11.77869,10.150099,6
-3.098899,12.281225,11.62326,5
-3.637303,12.246435,10.025043,5
-2.2565134,11.3402605,8.926322,4
-2.4185872,12.797102,9.346814,6
-1.9304202,12.115913,9.897827,7
-3.8885114,12.1024885,9.846512,6
-2.4037187,11.232213,8.761667,5
-2.4985542,13.819619,10.43364,3
-2.1389668,12.320686,9.821376,6
