0,1,2,Final_Marks
-6.18753,-9.433029,-9.97861,6
-6.085561,-9.971601,-9.235343,5
-7.338081,-10.2208,-9.330887,7
-7.259281,-9.126522,-11.74897,6
-5.6083593,-9.8054905,-9.789616,5
-6.4382367,-10.52515,-9.865244,5
-7.2223763,-9.0264225,-11.713082,4
-6.6060314,-10.261483,-10.427679,5
-5.266458,-9.855512,-9.455726,4
-6.574517,-10.194517,-10.229679,9
-7.6839027,-10.408285,-10.464955,6
-7.1898475,-8.964755,-11.707086,7
-7.192039,-8.978962,-11.693359,5
-5.178197,-9.833503,-9.3635845,4
-7.1903787,-10.214127,-9.027109,6
-7.0121584,-8.896019,-11.801808,3
-6.0201364,-10.973363,-9.59585,6
-6.097109,-10.352875,-9.836831,8
-4.7543783,-9.806705,-10.00951,4
-4.8454475,-9.824263,-10.553709,4
-6.1956687,-10.399396,-9.995986,7
-5.9407177,-10.144737,-10.3355465,7
-6.044343,-10.041113,-10.687749,5
-6.2736187,-10.361409,-9.772716,6
-6.986424,-10.076818,-10.876095,8
-6.6860423,-9.907982,-10.444977,6
-7.5136304,-9.413277,-11.810558,4
-6.6221395,-10.331123,-11.038394,8
-6.937945,-10.642319,-11.196283,5
-6.4461327,-9.643493,-9.711629,6
-6.7586064,-10.410251,-11.091318,6
-7.4142227,-10.291373,-9.486502,6
-6.406469,-9.840103,-9.982252,6
-5.6969533,-10.70665,-10.01712,7
-6.1693945,-10.258587,-9.356181,8
-6.540974,-10.5055895,-10.370253,6
-6.305448,-10.665602,-10.662625,3
-6.491263,-11.169634,-10.52459,5
-7.2656636,-10.605624,-11.145704,6
-6.361674,-10.078668,-9.567348,8
-7.318871,6.182563,-10.422446,5
-7.1344423,5.569113,-9.715657,6
-6.3424263,4.520338,-10.2826,8
-7.489399,6.162308,-10.471571,5
-7.69245,5.9802337,-10.463405,7
-5.8447413,4.3353972,-10.143454,9
-5.206071,4.14657,-10.019944,7
-6.9421945,5.7457066,-10.560871,5
-6.5735016,5.8253994,-10.957101,7
-6.501798,4.39155,-10.122929,6
-6.5193253,5.2745447,-10.2038355,6
-5.7015896,4.642082,-10.719494,6
