0,1,2,Final_Marks
-3.5903263,11.194731,-6.15814,6
-4.4616504,11.734359,-6.530164,5
-4.494091,12.109125,-6.942133,7
-2.0640833,12.435217,-6.9746127,6
-3.315729,11.502369,-5.6521964,5
-3.7267525,11.629034,-6.6253386,5
-1.8489767,12.047677,-6.713003,4
-2.8727012,11.304859,-6.2134404,5
-3.6912193,11.755697,-5.3741193,4
-3.0561,11.477242,-6.277674,9
-3.882641,11.643834,-6.8480353,6
-2.0138338,12.404235,-6.953168,7
-1.988733,12.302446,-6.8783097,5
-3.53297,11.710242,-5.274678,4
-3.6396682,11.90296,-6.899344,6
-2.0642877,12.76169,-6.927966,3
-4.3194823,12.574925,-6.8264756,6
-4.256931,12.26628,-6.5050654,8
-4.896915,12.339266,-5.4787946,4
-4.1310854,12.011873,-5.154437,4
-3.6126103,11.903937,-6.494112,7
-3.0697799,11.760705,-6.0881014,7
-3.1254117,11.424238,-6.007436,5
-3.781852,12.031731,-6.580341,6
-2.591262,11.384357,-6.3138905,8
-2.9125576,11.148824,-6.197728,6
-1.7506404,11.949576,-6.784292,4
-2.4409223,11.224019,-5.77714,8
-2.6818595,11.094593,-5.9179344,5
-4.6336555,11.992537,-6.694484,6
-2.423223,11.137894,-5.874987,6
-3.9530594,12.234467,-6.928073,6
-3.9488592,12.226892,-6.5494413,6
-4.246139,12.521701,-6.433966,7
-4.1697884,12.043092,-6.7644076,8
-3.1013112,11.337931,-6.2689214,6
-3.0440638,10.971455,-6.3588886,3
-3.6215558,10.685371,-6.7474847,5
-2.2215552,11.012989,-5.783076,6
-4.5057015,12.0799265,-6.818845,8
-10.383828,-11.244254,-5.800817,5
-11.147899,-11.824008,-5.781566,6
-10.5004635,-10.965366,-5.4405627,8
-10.515216,-11.383888,-5.7289734,5
-8.696182,-9.910356,-5.556815,7
-10.143042,-10.849825,-5.3518276,9
-9.7589445,-10.305141,-5.41562,7
-9.574994,-10.597833,-5.761859,5
-8.314279,-9.646376,-5.4816356,7
-10.275044,-11.6577215,-5.8767796,6
