0,1,2,Final_Marks
-8.633494,14.657152,2.4167395,6
-7.0679016,11.470016,1.7260433,5
-7.9956985,13.525365,2.0172176,7
-8.907721,14.369271,2.5738986,6
-7.8245564,11.943144,1.6277533,5
-8.514975,14.305014,2.4331474,5
-8.554909,12.946972,2.1504207,4
-7.937149,12.722523,2.3013923,5
-7.091247,11.268616,1.7703444,4
-8.2694,12.814752,1.9398112,9
-8.692698,14.500523,2.4115396,6
-8.707708,13.784471,2.562268,7
-8.89169,14.5718155,2.6316426,5
-7.028358,11.211234,1.802959,4
-8.156911,14.047263,2.4788024,6
-6.9448643,11.094272,1.8326979,3
-7.534247,12.972708,2.5949917,6
-7.5597963,12.967321,1.8419535,8
-6.9196434,11.044759,1.803645,4
-6.878601,10.973749,1.8087586,4
-7.5526657,12.447716,1.7603214,7
-7.922423,12.611652,1.5114138,7
-7.2711444,12.937986,2.0026767,5
-7.5762343,12.485543,1.787827,6
-8.330794,12.844645,1.8912466,8
-7.7488136,12.791375,2.3857188,6
-8.565535,13.174829,2.7536185,4
-7.4329133,11.904615,1.8938308,8
-7.968295,12.460845,2.3603384,5
-7.5738873,13.557576,2.1952174,6
-7.5863466,13.678922,2.6120532,6
-8.238928,13.031665,1.7934241,6
-7.513642,13.072363,2.0029387,6
-7.428873,13.082433,1.5743722,7
-7.8823266,12.777475,1.5003232,8
-7.964018,12.767695,2.3819609,6
-7.1780677,12.77548,2.5450888,3
-7.9829726,14.296456,1.9384928,5
-7.8537908,13.4781065,2.3183084,6
-8.125576,13.436621,1.7970842,8
1.2857548,-2.0505013,7.719386,5
0.7744815,-1.3744875,7.6203303,6
1.0845793,-3.0588605,5.350641,8
0.8468119,-2.035925,7.5833235,5
1.2537009,-1.4371245,7.0175443,7
1.1502715,-3.2081993,5.2878866,9
1.3891375,-1.4171652,7.017326,7
1.27945,-2.229649,7.5055737,5
0.56568176,-1.976304,6.9218574,7
1.5667394,-3.2021341,5.192931,6
1.4508983,-2.1615157,6.995947,6
1.1811386,-3.1197598,5.3079405,6
1.1646901,-2.026997,5.863382,6
1.3658847,-1.9832535,5.985286,5
0.6949538,-1.5750194,8.939991,5
0.7225544,-1.5786633,8.867979,5
0.770985,-2.0439553,7.3274207,5
0.76440555,-1.4859544,6.9793262,8
1.433968,-1.3109516,7.582131,5
1.2353164,-2.0119197,5.967941,6
1.2790893,-2.2280328,7.5058007,6
1.206097,-1.4945813,6.8788204,6
0.7734347,-2.0510871,7.3263245,5
0.7596157,-1.3230305,7.258704,8
1.9344612,-1.8934997,7.4399514,8
1.1335703,-2.235164,6.913743,5
1.248393,-1.8560106,6.0210557,5
1.6545659,-1.8432361,6.605801,4
1.2277429,-2.2462454,6.951044,5
1.1546818,-3.2196198,5.288605,8
1.5187361,-2.0329144,7.4782043,6
1.1789235,-3.1728055,5.2908115,6
1.2379174,-1.4254662,7.8121843,7
1.6660899,-1.8864042,7.218828,5
1.070417,-3.1509552,5.3341165,6
1.2263868,-1.4509091,7.9902916,6
1.1838504,-2.1028898,5.894835,5
1.2988572,-3.0613132,5.2843103,5
1.0621194,-2.037597,5.9877315,8
0.85219836,-2.3224509,7.2509046,6
-10.206337,6.215822,-7.794532,7
-10.926761,5.900189,-7.5858426,6
-9.608663,6.187102,-7.8247504,4
-9.998027,6.434103,-7.2663846,6
-9.589455,5.8665476,-8.395364,5
-10.821,5.9721994,-7.0539308,6
-9.408457,6.0592,-8.146762,5
-12.8677635,6.3172693,-7.4513774,4
-12.283243,6.166729,-6.885477,8
-12.257634,6.168833,-6.8679857,5
-11.117925,6.290502,-7.113061,6
-9.693629,5.848754,-7.647676,6
-12.356506,6.2325654,-6.949618,6
-11.451622,6.2322087,-7.065055,6
-10.121131,6.2953053,-8.074281,7
-10.145105,5.757249,-7.545468,6
-10.906237,6.152833,-7.463968,5
-11.312978,5.510391,-7.006898,3
-9.766817,5.45122,-8.121748,6
-12.852152,6.3078523,-7.426896,6
-11.068218,5.957356,-7.696215,6
-11.475859,6.0956235,-6.913264,6
-10.14552,6.245018,-8.017258,5
